id,category,utterance
1,국내증시_종합,오늘 국내 증시 분위기 어때?
2,국내증시_종합,지금 코스피가 오르고 있어 내려가고 있어?
3,국내증시_종합,오늘 코스닥 흐름 좀 알려줘
4,국내증시_종합,국내 주식시장이 왜 이렇게 움직이는 거야?
5,국내증시_종합,오늘 증시 주요 이슈가 뭐야?
6,국내증시_종합,장 초반 시장 분위기 정리해줘
7,국내증시_종합,오늘 장 마감 결과 알려줘
8,국내증시_종합,지금 주식시장 전반적으로 강세야?
9,국내증시_종합,오늘 코스피 상승 종목이 더 많아?
10,국내증시_종합,오늘 국내 증시 한눈에 요약해줘
11,국내증시_종합,어제보다 시장 상황이 나아졌어?
12,국내증시_종합,오늘 증시 변동성이 큰 편이야?
13,국내증시_종합,현재 투자심리는 좋은 편이야?
14,국내증시_종합,오늘 시장에 영향을 준 뉴스가 뭐야?
15,국내증시_종합,지금 주식 들어가도 되는 분위기야?
16,해외증시,어젯밤 미국 증시 어떻게 끝났어?
17,해외증시,오늘 나스닥 흐름 알려줘
18,해외증시,다우지수는 왜 떨어졌어?
19,해외증시,S&P500 현재 상황이 어때?
20,해외증시,미국 주식시장이 오른 이유가 뭐야?
21,해외증시,유럽 증시 분위기도 알려줘
22,해외증시,중국 증시는 요즘 어때?
23,해외증시,일본 닛케이지수 흐름 알려줘
24,해외증시,미국 증시 주요 이슈만 요약해줘
25,해외증시,해외 증시가 국내 시장에 어떤 영향을 줄까?
26,해외증시,어제 뉴욕증시에서 기술주가 많이 빠졌어?
27,해외증시,미국 장 마감 결과 간단히 알려줘
28,해외증시,오늘 밤 미국 증시 전망은 어때?
29,해외증시,글로벌 증시가 전반적으로 약세야?
30,해외증시,해외 주식시장 변동성이 커진 이유가 뭐야?
31,환율,오늘 원달러 환율 얼마야?
32,환율,달러 환율이 왜 이렇게 올랐어?
33,환율,지금 환율이 떨어지는 이유가 뭐야?
34,환율,원화 가치가 요즘 약해진 거야?
35,환율,오늘 엔화 환율도 알려줘
36,환율,유로 환율은 어떻게 움직이고 있어?
37,환율,달러를 지금 환전하는 게 나을까?
38,환율,환율 전망 간단히 알려줘
39,환율,원달러 환율이 주식시장에 미치는 영향이 뭐야?
40,환율,환율이 오르면 수입 물가는 어떻게 돼?
41,환율,요즘 엔화가 싼 편이야?
42,환율,환율 변동성이 큰 이유가 뭔데?
43,환율,미국 금리랑 환율은 어떤 관계야?
44,환율,달러 강세가 계속될까?
45,환율,오늘 주요 통화 환율 한 번에 보여줘
46,금리_채권,현재 기준금리 몇 퍼센트야?
47,금리_채권,한국은행이 금리를 내릴 가능성이 있어?
48,금리_채권,미국 기준금리 전망은 어때?
49,금리_채권,시장금리가 왜 오르고 있어?
50,금리_채권,국채 금리 흐름 좀 알려줘
51,금리_채권,금리가 오르면 채권 가격은 왜 떨어져?
52,금리_채권,요즘 채권 투자 괜찮아?
53,금리_채권,은행 예금금리는 앞으로 내려갈까?
54,금리_채권,대출금리는 언제쯤 떨어질까?
55,금리_채권,미국 국채 10년물 금리가 왜 중요해?
56,금리_채권,금리 인하 기대가 주식시장에 미치는 영향은?
57,금리_채권,단기채랑 장기채 중에 뭐가 더 유리해?
58,금리_채권,오늘 채권시장 분위기 알려줘
59,금리_채권,기준금리 동결은 무슨 의미야?
60,금리_채권,금리 인상 가능성은 이제 낮아진 거야?
61,원자재,오늘 국제유가 얼마야?
62,원자재,기름값이 오르는 이유가 뭐야?
63,원자재,금 시세 요즘 어때?
64,원자재,지금 금을 사도 괜찮을까?
65,원자재,은 가격도 많이 올랐어?
66,원자재,원유 가격 전망 알려줘
67,원자재,국제유가가 국내 물가에 어떤 영향을 줘?
68,원자재,구리 가격이 왜 경기 지표로 쓰여?
69,원자재,원자재 시장 분위기 정리해줘
70,원자재,금값이 오르면 달러는 보통 어떻게 돼?
71,원자재,천연가스 가격 흐름 알려줘
72,원자재,요즘 원자재 가격이 전반적으로 상승 중이야?
73,원자재,유가가 내려가면 항공주에 좋은 거야?
74,원자재,금 가격이 사상 최고가라는 게 맞아?
75,원자재,원자재 투자할 때 주의할 점이 뭐야?
76,가상자산,오늘 비트코인 시세 어때?
77,가상자산,비트코인이 왜 갑자기 떨어졌어?
78,가상자산,이더리움 가격도 알려줘
79,가상자산,가상자산 시장 분위기 요약해줘
80,가상자산,비트코인 상승 이유가 뭐야?
81,가상자산,요즘 코인 시장 변동성이 왜 이렇게 커?
82,가상자산,비트코인과 나스닥이 같이 움직이는 이유가 있어?
83,가상자산,가상자산에 기관 자금이 들어오고 있어?
84,가상자산,알트코인 시장도 회복 중이야?
85,가상자산,코인 시장에 영향을 주는 주요 뉴스가 뭐야?
86,가상자산,비트코인 반감기가 가격에 어떤 영향을 줘?
87,가상자산,가상자산 투자심리는 지금 공포야 탐욕이야?
88,가상자산,비트코인 전망을 너무 어렵지 않게 설명해줘
89,가상자산,미국 금리 인하가 코인 가격에 호재야?
90,가상자산,오늘 주요 가상자산 가격 한 번에 알려줘
91,경제지표,오늘 발표된 경제지표가 뭐야?
92,경제지표,한국 경제성장률 전망 알려줘
93,경제지표,미국 물가 지표가 어떻게 나왔어?
94,경제지표,소비자물가지수가 왜 중요해?
95,경제지표,고용지표가 주식시장에 미치는 영향은?
96,경제지표,실업률이 올라가면 금리는 내려가?
97,경제지표,GDP가 정확히 뭐야?
98,경제지표,요즘 경기 침체 가능성이 큰 편이야?
99,경제지표,제조업 지수가 하락했다는 게 무슨 뜻이야?
100,경제지표,소비심리 지표는 지금 좋아지고 있어?
101,경제지표,수출입 지표가 국내 증시에 왜 중요해?
102,경제지표,경제지표 발표 일정 알려줘
103,경제지표,물가가 안정되고 있다는 신호가 있어?
104,경제지표,경기선행지수 흐름이 어때?
105,경제지표,최근 경제 상황을 지표 중심으로 요약해줘
106,물가_경기,요즘 물가가 실제로 내려가고 있어?
107,물가_경기,체감물가는 왜 계속 비싼 것 같지?
108,물가_경기,경기가 좋아지고 있는지 알려줘
109,물가_경기,지금은 경기 침체 국면이야?
110,물가_경기,스태그플레이션 가능성이 있어?
111,물가_경기,물가 상승률이 낮아지면 생활비도 바로 줄어?
112,물가_경기,내수 경기가 안 좋다는 근거가 뭐야?
113,물가_경기,요즘 소비가 줄고 있는 편이야?
114,물가_경기,기업 경기는 회복되고 있어?
115,물가_경기,부동산 경기와 전체 경제는 어떤 관계야?
116,물가_경기,경기 둔화가 예금금리에 영향 줘?
117,물가_경기,물가와 금리는 왜 같이 움직여?
118,물가_경기,최근 경기 전망을 쉽게 설명해줘
